RAND_ID,V1,V2,V3,V4,V5,V7,V10,Q47,Q35,Q35_TEXT,Q25,Q31,Q32,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q30_7,Q30_8,Q39,Q43,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22_1,Q22_2,Q22_3,Q22_5,Q22_5_TEXT,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_7,Q34_7_TEXT,Q44,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q45,Q21_Tool_Count,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_7_TEXT,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,,,,
,R_3O9CrX8M26lvJUx,Default Response Set,Anonymous,,,0,1,1,2,,2,2,3,1,,,,1,1,Agile Coach,1,1,2,1,36,37,40,38,39,40,38,38,40,,,1,,,1,2,2,4,,,,3,,,,,,,,1,14,17,13,15,14,13,17,15,13,15,1,"There were many such situations. What I have seen happen more often is the use of new language features, that weren't available on the old version.",1,2,My regular IDE and bash diffs,2,26,25,25,25,23,22,,,2,2,4,4,2,2,3,,,,
,R_1pWMHdUTnpH1y4A,Default Response Set,Anonymous,,,0,0,1,1,,2,2,5,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1n6eKU0aq8crgvW,Default Response Set,Anonymous,,,0,1,1,1,,1,1,2,1,,,,,,,,,2,1,37,37,36,37,37,36,37,37,37,,1,,,,3,,,,,,,2,,1,,,,,,1,15,16,16,16,16,15,14,14,15,15,,,1,1,I use my IDE (Pycharm).,2,25,25,25,25,25,25,,,2,3,3,3,3,4,4,,,,
,R_1hVZqdXhGsNH6Vc,Default Response Set,Anonymous,,,0,1,1,1,,3,2,2,1,,,,,,,1,,4,1,37,38,39,39,40,37,39,39,40,,,1,,,2,,,,2,3,4,2,,1,,1,,,,1,16,16,16,16,16,16,14,17,14,16,,,1,3,"Meld, Gitkraken, PyCharm",3,26,25,24,24,24,26,24,,4,4,4,4,4,4,3,,,,
,R_3KH2ZSvN9UhhSMV,Default Response Set,Anonymous,,,0,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,R_3flyaTSac7CF5K4,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,R_32PAxTVFjYfbhGE,Default Response Set,Anonymous,,,0,1,1,1,,2,2,3,1,1,,,,,,,,5,1,38,39,40,37,39,36,38,37,36,,,1,,,2,,,,1,2,4,3,,,,,,,,1,15,16,13,15,14,13,13,14,15,16,,,1,2,"vim, intellij",2,25,25,24,24,23,25,,,4,2,3,3,3,2,2,,,,
,R_2TAcuUOgnU4mD1h,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_24P0d4I9aC8n1gS,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2CCw2nQryBMnHcw,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_pttHXAtHm3OhUdj,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_30q1PdTYPr538ty,Default Response Set,Anonymous,,,0,0,1,2,,1,3,2,1,,,,,,,,,2,1,40,38,39,38,39,38,39,38,37,1,1,1,,,1,2,3,4,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1FCWeY0dmJ7nr6G,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2RanEDjhAgSeVQl,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3pseQwfpEDOGYrD,Default Response Set,Anonymous,,,0,0,1,1,,1,3,2,1,,,,,,,,,4,1,37,37,37,37,36,38,36,36,36,,1,,,,2,,,,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2wNpiANHTt4D5p5,Default Response Set,Anonymous,,,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_51hMBO3XwcYx1n3,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_x8YyKlURLBDbvcR,Default Response Set,Anonymous,,,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_SNR5N5Z0gXWNHgd,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_25yeYgPZLNwQkXF,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3NOfsVGo8Dbdo1Z,Default Response Set,Anonymous,,,0,0,1,1,,1,2,4,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_R98oGEza3zL2zDj,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2ZTxHr5JbUBZSS1,Default Response Set,Anonymous,,,0,0,1,1,,1,2,3,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1igFp6UFXdJXIkY,Default Response Set,Anonymous,,,0,0,1,5,,2,2,3,1,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_vB5iv4KYeDcIZ1v,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_30uidP2XvOmU3l5,Default Response Set,Anonymous,,,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_0d2QA01DrsFXfHP,Default Response Set,Anonymous,,,0,0,1,1,,2,2,3,1,1,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_22PlEgwJWwBB3Gk,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1lgitNWq5QPvmF5,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1NCE3x6wr7Bc4CL,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3soy27B4HnW8fAt,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1dgmiZnuXeWiFO8,Default Response Set,Anonymous,,,0,0,1,1,,3,3,4,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3Pns6fIuj0PuQNO,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2zI0AltYIFxybqc,Default Response Set,Anonymous,,,0,0,1,1,,2,2,3,1,,,,,,,,,6,1,37,37,37,37,37,37,37,36,36,,,1,,,1,1,2,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3p5z1G4WS9SRML1,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1ih9749wETgmAiV,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_6F5ra4vJvYU05JX,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1NE3vvsijyEelBe,Default Response Set,Anonymous,,,0,1,1,1,,2,2,3,1,,,,,,,1,,5,1,39,40,40,39,37,37,39,39,37,1,1,,,,2,,,,2,3,5,3,,,,,,,,1,14,16,14,16,14,14,15,16,17,14,,,1,1,Beyond Compare,2,25,24,24,23,,24,,,3,3,3,1,1,1,1,,,,
,R_26fropjGe7lYA4u,Default Response Set,Anonymous,,,0,1,1,1,,2,3,2,1,,,1,1,,,,,5,1,37,37,37,36,36,37,36,37,37,1,,,,,2,,,,2,2,3,2,,1,1,1,,,,1,14,15,14,15,14,14,15,13,14,15,2,,1,,,2,,,,,,,,,4,,,,,,,,,,
,R_12Rus21hYzQjNeW,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_32R8NaKzfq4c2sn,Default Response Set,Anonymous,,,0,0,1,1,,1,3,1,,,,,,1,None,,,1,1,38,38,38,,40,39,39,39,37,,,1,,,1,3,3,3,,,,1,,,,1,,,,1,14,14,15,17,14,15,14,17,15,14,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2v8QIAUqd4Bxc9U,Default Response Set,Anonymous,,,0,0,1,1,,1,3,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2rNKIZMHJtsO6Mi,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3EyDEhugU9vmAim,Default Response Set,Anonymous,,,0,1,1,,,3,2,2,1,,,,1,,,,,3,1,38,37,40,36,38,36,36,38,37,,,1,,,3,,,,,,,1,,1,,1,,1,"Tool issues. For example, in Eclipse, some static analysis fixes might re-order the imports to make them alphabetic. But this introduces a spurious change into the commit. So you have to be extra careful about what tools or fixes you can apply, even when static analysis recommends them.",1,15,17,16,14,17,16,14,14,17,14,2,,1,3,I use Beyond Compare to do the diffing. I also use SourceTree to identify the conflicting files. Sometimes I will need to use the version control system itself (git) and pull the older revision to manually inspect differences. Tools don't make it easy to work with two arbitrary revisions side by side.,3,26,25,22,22,22,26,,,3,4,4,2,3,4,2,,,,
,R_1jg1OvxqEF6daDj,Default Response Set,Anonymous,,,0,0,1,1,,1,1,2,1,,,,,,,,,4,1,40,40,40,40,40,38,40,38,39,1,,1,,,1,2,4,5,,,,1,1,1,1,1,,,,1,17,17,17,17,17,17,17,17,17,16,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1kXt4zZOC4JorCE,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_10SkDM66niPsM0m,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1IhpCEb8hEM1yGl,Default Response Set,Anonymous,,,0,0,1,1,,1,2,5,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3NxMwSsFb6Zboir,Default Response Set,Anonymous,,,0,0,1,1,,2,1,2,,1,,,,,,,,5,1,38,38,38,39,,37,37,38,39,1,,,,,2,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2BzaLQpw08ysuO4,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1F2Q5AYv9ip9KY1,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_9XrwZ5QnNnKHuCZ,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_33rS5a2arLs3eQs,Default Response Set,Anonymous,,,0,0,1,1,,3,2,2,1,1,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_zehjnxIahMZwZ1f,Default Response Set,Anonymous,,,0,1,1,1,,2,3,2,1,,,,,,,,,5,1,37,37,38,37,36,36,38,39,37,,,1,,,1,1,2,4,,,,3,,,,,,,,1,13,16,13,13,13,13,17,13,17,13,,,1,2,"I do conflict resolution on ""git rebase"", and don't usually do merge at all. / For the conflict resolution, I don't use any particular tool other than bare git and a normal code editor.",1,25,25,24,24,22,25,,,4,4,5,5,2,1,1,,,,
,R_3EnkR4BGIeuhsEw,Default Response Set,Anonymous,,,0,1,1,1,,1,3,2,1,,,,,,,,,6,1,38,39,37,39,38,37,37,37,38,1,,,,,1,1,2,4,,,,1,1,1,,1,,,,1,14,14,14,15,17,16,14,14,15,14,,,1,4,"Sourcetree, meld (though I don't currently have it configured correctly), text or code editor (texStudio, eclipse, etc)",3,23,23,23,22,22,23,,,3,4,4,3,4,2,2,,,,
,R_1mPC3MF4J9WOBmi,Default Response Set,Anonymous,,,0,0,1,1,,3,1,2,1,,,,,,,1,,2,1,39,38,39,38,40,36,38,38,38,,,1,,,1,2,3,4,,,,1,1,,1,,,,,1,15,17,16,16,17,17,17,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,
,R_UAsZD4SfmBQgmEF,Default Response Set,Anonymous,,,0,0,1,1,,1,3,2,1,,,1,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_suvpp1mPdfvuaCl,Default Response Set,Anonymous,,,0,0,1,1,,2,2,2,1,,,,,,,,,4,1,40,38,39,38,38,39,38,37,38,,,1,,,2,,,,1,2,3,2,,,,,,1,Size of team,1,15,16,14,14,17,15,16,16,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
,R_UQlwtr22lV3k06J,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2rxucnneLt8Y22f,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_20O8krpXKANqPSU,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_0dERQPw0IpVncid,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2dQjoqTgSVibtWU,Default Response Set,Anonymous,,,0,0,1,1,,2,2,2,1,,1,1,1,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_32JIhCfuHi4yvPM,Default Response Set,Anonymous,,,0,0,1,1,,1,2,1,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3k4YkFbOGCJMCml,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1dozICwVuvu9UKs,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3IcMsGXfsmRgW9O,Default Response Set,Anonymous,,,0,0,1,1,,2,1,1,1,,1,,,,,,1,4,1,39,39,37,37,39,38,38,38,39,1,1,,,,2,,,,3,3,3,2,,,,,,,,1,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
,R_6A7HBOtgfOswPlL,Default Response Set,Anonymous,,,0,1,1,1,,3,2,5,1,,,,,,,,,3,1,37,37,37,37,37,36,37,37,39,,,1,,,1,1,3,4,,,,3,,,,,,,,1,15,16,15,14,15,15,14,15,14,17,,,1,3,git (cli) / Kaleidoscope / GitUp,2,26,24,24,23,25,25,,,4,2,4,4,4,3,1,,,,
,R_2tEWcvJmqiFLOV2,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_VJBPRhChsn5nQlP,Default Response Set,Anonymous,,,0,1,1,1,,2,1,3,1,,,,1,,,,,5,1,36,37,36,37,36,36,36,37,39,,,1,,,1,1,1,2,,,,3,,,,,,,,1,13,17,14,15,14,14,13,13,13,15,2,,1,2,NetBeans and console,1,26,26,26,26,26,26,,,5,1,1,1,1,1,1,,,,
,R_3MF2f3qOHcJLcQR,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3MgkwRagIv7l7hN,Default Response Set,Anonymous,,,0,0,1,1,,4,2,2,1,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_6LFiAkmupAKCQC1,Default Response Set,Anonymous,,,0,0,1,1,,3,3,3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1gHKCtSWCPI3RRY,Default Response Set,Anonymous,,,0,0,1,1,,1,3,2,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_4HETaOe7Kg8tsKB,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1LXoz1oGp5yJnKo,Default Response Set,Anonymous,,,0,0,1,1,,4,3,1,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2rIoVcGadxjZViD,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2rZKsLIhYityiUF,Default Response Set,Anonymous,,,0,0,1,1,,2,3,2,1,,,,,,,1,1,2,1,38,38,39,38,39,36,40,38,37,,,1,,,2,,,,1,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_33auWtbEYFLbf2I,Default Response Set,Anonymous,,,0,0,1,1,,5,2,3,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1pYCS6kwS9TjSO6,Default Response Set,Anonymous,,,0,0,1,1,,5,2,4,1,,1,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_yDtntPUJ8skwYJX,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_Q3SAvkVYzHz7QOd,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_xDH3wAlmfGOstO1,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_27k8JA0Ja56qfaD,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,5,1,36,36,36,36,36,36,37,36,37,,1,,,,1,1,3,4,,,,2,1,1,1,1,1,,,1,14,14,14,15,14,15,15,15,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
,R_25FWoRgS6QC7r3C,Default Response Set,Anonymous,,,0,1,1,1,,3,1,3,1,1,1,1,1,1,Designer,1,1,3,1,37,38,39,37,39,36,36,39,39,1,,,,,2,,,,2,2,3,3,,,,,,,,1,15,17,14,16,14,14,14,13,14,15,2,,1,6,"IDE (Atom, Sublime, vi) / git CLI / grep / diff viewer (Kaleidoscope) / High amount of test coverage",1,26,26,26,26,26,26,,,4,2,2,2,3,2,2,,,,
,R_3g8g75PFfnoFgg7,Default Response Set,Anonymous,,,0,0,1,1,,5,2,5,1,,,,,,,,,5,1,37,37,36,37,36,36,37,38,38,1,1,,,,2,,,,1,2,4,1,1,1,1,,1,,,1,15,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
,R_20USMWNVsbA24hM,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3pa69vuZpal992z,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_xryPeLrobebij3H,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3D62l4Snw4YDB7y,Default Response Set,Anonymous,,,0,0,1,1,,2,2,2,1,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_30wq3qUNuAE939v,Default Response Set,Anonymous,,,0,0,1,2,,2,1,1,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_21hrz9NXk52E73V,Default Response Set,Anonymous,,,0,0,1,1,,1,1,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3PAEuSL0AA1ZSub,Default Response Set,Anonymous,,,0,0,1,1,,3,2,2,1,,,,,,,,,2,1,37,38,39,38,39,37,36,37,39,1,,,,,1,1,2,3,,,,3,,,,,,,,1,14,15,14,16,15,15,13,16,15,17,,,,,,,,,,,,,,,,,,,,,,,,,
,R_866B67myQIYd0TD,Default Response Set,Anonymous,,,0,0,1,1,,4,3,2,1,,,,1,1,Agile Coach,,,4,1,37,37,37,37,38,36,36,36,36,,1,,,,2,,,,2,3,4,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3P7UuL9c8BK6BNI,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2X4gOQUGiXm257C,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2BlJxIAUEidBPWb,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
